,hhno,id,pagey,pdiary,pgend,pno,ppaidprk,pproxy,pptyp,psaudist,psautime,psexpfac,pspcl,pstaz,pstyp,ptpass,puwarrp,puwdepp,puwmode,pwaudist,pwautime,pwpcl,pwtaz,pwtyp,year
0,2001,,37,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,324.86,-1,-1,Not a Student,1,,,,17.28,42.14,147857,515,Paid Full-Time Worker,2006
1,2006,,43,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,356.76,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
2,2006,,39,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,356.76,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
3,2006,,64,1,Female,3,-1,,Full-Time Worker,-1.0,-1.0,356.76,-1,-1,Not a Student,0,,,,8.32,31.37,13585,1026,Paid Full-Time Worker,2006
4,2015,,36,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,411.65,-1,-1,Not a Student,0,Between 7 and 7:30 am,Between 4 and 4:30 pm,Drive Alone,9.26,31.31,99345,1628,Paid Full-Time Worker,2006
5,2015,,10,1,Male,2,-1,No Proxy,Child Age 5-15,-1.0,-1.0,411.65,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6,2015,,8,1,Male,3,-1,No Proxy,Child Age 5-15,-1.0,-1.0,411.65,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
7,2016,,35,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,98.36,-1,-1,Not a Student,0,,,,13.73,34.61,181158,1616,Paid Full-Time Worker,2006
8,2033,,58,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,218.57,-1,-1,Not a Student,0,,,Drive Alone,2.03,8.99,958934,2606,Paid Part-Time Worker,2006
9,2033,,59,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,218.57,-1,-1,Not a Student,0,,,,13.27,48.66,235743,163,Paid Full-Time Worker,2006
10,2058,,51,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,416.17,-1,-1,Not a Student,0,,,,7.16,21.78,716105,3124,Paid Full-Time Worker,2006
11,2058,,49,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,416.17,-1,-1,Not a Student,0,,,,22.67,52.64,438083,1353,Paid Full-Time Worker,2006
12,2062,,47,1,Male,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,223.48,-1,-1,Not a Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
13,2065,,51,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,205.05,-1,-1,Not a Student,0,,,,2.94,14.63,987335,2292,Paid Full-Time Worker,2006
14,2065,,47,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,205.05,-1,-1,Not a Student,0,,,,2.49,13.51,988328,2280,Paid Full-Time Worker,2006
15,2067,,78,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,267.69,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
16,2067,,80,1,Male,2,-1,,Part-Time Worker,-1.0,-1.0,267.69,-1,-1,Not a Student,0,,,,2.44,8.64,23072,1795,Paid Part-Time Worker,2006
17,2070,,61,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,442.41,-1,-1,Not a Student,0,Between 6 and 6:30 am,None 4+ Days/Week,Drive Alone,29.63,71.05,1145208,2309,Paid Full-Time Worker,2006
18,2070,,58,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,442.41,-1,-1,Not a Student,0,,,,20.54,53.14,59017,529,Paid Full-Time Worker,2006
19,2070,,35,1,Female,3,-1,No Proxy,Full-Time Worker,-1.0,-1.0,442.41,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
20,2071,,48,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,171.91,-1,-1,Not a Student,0,After 9 am,Between 6 and 6:30 pm,Drive Alone,5.79,23.7,519459,630,Paid Full-Time Worker,2006
21,2071,,55,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,171.91,-1,-1,Not a Student,0,,,,2.02,10.89,120881,721,Paid Full-Time Worker,2006
22,2071,,14,1,Male,3,-1,No Proxy,Child Age 5-15,4.61,19.46,171.91,289885,624,Full-Time Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
23,2071,,6,1,Female,4,-1,No Proxy,Child Age 5-15,2.42,11.38,171.91,108818,664,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
24,2089,,49,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,235.57,-1,-1,Not a Student,0,,,Drive Alone,26.07,239.13,785024,3036,Paid Full-Time Worker,2006
25,2089,,50,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,235.57,-1,-1,Not a Student,0,,,,14.41,30.65,670021,3563,Paid Full-Time Worker,2006
26,2089,,18,1,Female,3,-1,No Proxy,University Student,12.43,37.15,235.57,674828,3596,Part-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
27,2089,,15,1,Male,4,-1,No Proxy,Child Age 5-15,-1.0,-1.0,235.57,-1,-1,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
28,2109,,28,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,980.92,-1,-1,Not a Student,0,,,,11.24,26.7,1137704,2564,Paid Full-Time Worker,2006
29,2110,,46,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,696.56,-1,-1,Not a Student,0,,,,38.38,72.87,430869,1929,Paid Full-Time Worker,2006
30,2110,,10,1,Male,2,-1,,Child Age 5-15,1.81,8.47,696.56,232870,2008,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
31,2110,,9,1,Female,3,-1,,Child Age 5-15,-1.0,-1.0,696.56,-1,-1,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
32,2116,,66,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,66.21,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
33,2116,,63,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,66.21,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
34,2120,,49,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,335.56,-1,-1,Not a Student,0,,,,6.04,27.73,246663,72,Paid Full-Time Worker,2006
35,2120,,54,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,335.56,-1,-1,Not a Student,0,,,,0.39,5.55,66869,1832,Paid Full-Time Worker,2006
36,2128,,45,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,256.11,-1,-1,Not a Student,1,,,Shared Ride 3+,3.12,20.02,147091,321,Paid Full-Time Worker,2006
37,2138,,62,1,Male,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,258.22,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
