County Group,Year,Season,Pollutant,Unit,Speed (mph),LDV,MDV,HDV
"King County, Washington",2030,Winter,CO,g/mi,2.5,4.37367,6.2102,16.0048
"King County, Washington",2030,Winter,CO,g/mi,5.0,2.98239,4.02713,10.0661
"King County, Washington",2030,Winter,CO,g/mi,10.0,2.28676,2.8962,6.72678
"King County, Washington",2030,Winter,CO,g/mi,20.0,1.83791,2.15993,4.21578
"King County, Washington",2030,Winter,CO,g/mi,25.0,2.05488,2.47805,5.40846
"King County, Washington",2030,Winter,CO,g/mi,25.0,1.50437,1.80507,3.64057
"King County, Washington",2030,Winter,CO,g/mi,30.0,1.46347,1.76271,3.1916
"King County, Washington",2030,Winter,CO,g/mi,35.0,1.34081,1.647,2.59982
"King County, Washington",2030,Winter,CO,g/mi,40.0,1.22492,1.57061,2.31376
"King County, Washington",2030,Winter,CO,g/mi,45.0,1.15902,1.52466,2.09126
"King County, Washington",2030,Winter,CO,g/mi,50.0,1.14742,1.51313,1.86873
"King County, Washington",2030,Winter,CO,g/mi,55.0,1.16834,1.5299,1.67626
"King County, Washington",2030,Winter,CO,g/mi,60.0,1.22202,1.57583,1.61531
"King County, Washington",2030,Winter,CO,g/mi,65.0,1.32159,1.75558,1.62084
"King County, Washington",2030,Winter,CO,g/mi,70.0,1.54427,2.00851,1.62558
"King County, Washington",2030,Winter,CO,g/mi,75.0,2.07563,2.50381,1.64554
"King County, Washington",2030,Summer,CO2e,g/mi,2.5,1470.34,2468.51,6170.05
"King County, Washington",2030,Summer,CO2e,g/mi,5.0,830.321,1424.57,3668.45
"King County, Washington",2030,Summer,CO2e,g/mi,10.0,510.313,905.615,2440.39
"King County, Washington",2030,Summer,CO2e,g/mi,20.0,348.425,641.018,1978.99
"King County, Washington",2030,Summer,CO2e,g/mi,25.0,403.643,736.011,2180.78
"King County, Washington",2030,Summer,CO2e,g/mi,25.0,311.503,570.251,1828.0
"King County, Washington",2030,Summer,CO2e,g/mi,30.0,278.485,532.083,1781.89
"King County, Washington",2030,Summer,CO2e,g/mi,35.0,263.828,481.983,1543.59
"King County, Washington",2030,Summer,CO2e,g/mi,40.0,254.979,466.082,1511.61
"King County, Washington",2030,Summer,CO2e,g/mi,45.0,248.373,453.836,1486.73
